Year,temp_mean,temp_std,co2_mean,co2_std
1450,-0.617630518,0.181586131,279.96,0.378901637
1451,-0.639039155,0.183764285,279.93,0.388483565
1452,-0.666741843,0.183489079,279.9,0.399159561
1453,-0.697327639,0.185753799,279.87,0.411058448
1454,-0.723759693,0.193908157,279.84,0.421214745
1455,-0.743852783,0.205657587,279.82,0.43227176
1456,-0.756022649,0.21705015,279.79,0.441993712
1457,-0.760222457,0.224658611,279.76,0.453461912
1458,-0.757491171,0.228976699,279.74,0.464447957
1459,-0.749849136,0.230087421,279.71,0.47569407
1460,-0.7372,0.228924835,279.69,0.485980956
1461,-0.721923417,0.227152804,279.67,0.495510581
1462,-0.707272745,0.225877037,279.65,0.506362335
1463,-0.694303647,0.225010417,279.64,0.514256703
1464,-0.684639923,0.224953441,279.62,0.523531341
1465,-0.678818234,0.225047094,279.61,0.53411516
1466,-0.673721881,0.225104648,279.6,0.541962324
1467,-0.663339347,0.2258695,279.6,0.548446251
1468,-0.648110365,0.225388546,279.59,0.558057857
1469,-0.63093858,0.220523203,279.59,0.563863451
1470,-0.618269098,0.21294969,279.59,0.571232434
1471,-0.613475432,0.204390124,279.6,0.576448298
1472,-0.61356929,0.195446436,279.61,0.581684559
1473,-0.612514971,0.186757483,279.62,0.587429097
1474,-0.608833781,0.178628042,279.63,0.591800393
1475,-0.603739155,0.172364487,279.65,0.597086179
1476,-0.597485988,0.169020161,279.67,0.600586294
1477,-0.593127063,0.169303103,279.69,0.603179168
1478,-0.591687716,0.174634832,279.72,0.606470878
1479,-0.595007294,0.1796447,279.75,0.608000235
1480,-0.601885605,0.177804397,279.78,0.610512523
1481,-0.608403071,0.169749342,279.82,0.612346279
1482,-0.607108637,0.160813136,279.86,0.613827147
1483,-0.597010173,0.155086282,279.9,0.616938573
1484,-0.578416123,0.154210468,279.94,0.617912454
1485,-0.555247025,0.155664333,279.99,0.619436974
1486,-0.534459117,0.157394834,280.04,0.621359353
1487,-0.517991939,0.157306304,280.08,0.625431626
1488,-0.504902687,0.154541046,280.14,0.62763712
1489,-0.497141267,0.150053929,280.19,0.631085096
1490,-0.499233205,0.144187501,280.24,0.6355529
1491,-0.511035701,0.140373984,280.29,0.640421263
1492,-0.527292131,0.142648355,280.34,0.642495136
1493,-0.544446449,0.150098282,280.39,0.648574861
1494,-0.56012476,0.159662139,280.45,0.653522755
1495,-0.570914012,0.169967432,280.5,0.660439477
1496,-0.576145106,0.178356979,280.55,0.667758413
1497,-0.576965643,0.181102048,280.59,0.674820483
1498,-0.570449712,0.175866097,280.64,0.681905435
1499,-0.55620595,0.165488798,280.68,0.690906456
1500,-0.539324184,0.154512294,280.72,0.698737885
1501,-0.524603263,0.145555598,280.76,0.707459481
1502,-0.512953359,0.141546491,280.8,0.714894113
1503,-0.499165259,0.142839421,280.84,0.725320201
1504,-0.483333781,0.146884866,280.87,0.733861282
1505,-0.472577351,0.148988502,280.9,0.741856948
1506,-0.469143954,0.146933682,280.93,0.752504764
1507,-0.471480038,0.142370749,280.95,0.760834726
1508,-0.476740115,0.138600814,280.98,0.770321797
1509,-0.481932054,0.137854972,281,0.779824739
1510,-0.486952783,0.139388288,281.02,0.787604181
1511,-0.497710749,0.140293157,281.04,0.797452247
1512,-0.512974856,0.140970225,281.06,0.806735847
1513,-0.529133397,0.141746915,281.08,0.814035429
1514,-0.542004798,0.143779904,281.09,0.821850409
1515,-0.549686372,0.147368244,281.11,0.83126579
1516,-0.551427831,0.152854156,281.12,0.838185657
1517,-0.547806718,0.160214023,281.14,0.844206638
1518,-0.545702879,0.165908919,281.15,0.852428667
1519,-0.550255662,0.167894139,281.17,0.859601236
1520,-0.564659117,0.168905428,281.18,0.866220456
